一;One
飾;Decorate
騒;Boisterous
背;Back
撮;Photograph
盗;Steal
離;Detach
融;Dissolve
編;Knit
華;Showy
既;Previously
普;Normal
豪;Exceptional
鑑;Model
除;Exclude
尋;Inquire
幾;How Many
廊;Corridor
掃;Sweep
泥;Mud
棒;Pole
驚;Surprised
嘆;Sigh
倉;Warehouse
孫;Grandchild
巣;Nest
帯;Belt
径;Diameter
救;Rescue
散;Scatter
粉;Powder
脈;Vein
菜;Vegetable
貨;Freight
陸;Land
似;Resemble
均;Equal
墓;Grave
富;Rich
徳;Virtue
探;Look For
偵;Spy
綺;Beautiful
序;Preface
迎;Welcome
志;Intention
恩;Kindness
採;Gather
桜;Sakura
永;Eternity
液;Fluid
眼;Eyeball
祖;Ancestor
績;Exploits
興;Interest
衛;Defense
複;Duplicate
雑;Random
賛;Agree
酸;Acid
銭;Coin
飼;Domesticate
傷;Wound
党;Party
卵;Egg
厳;Strict
捨;Throw Away
込;Crowded
密;Secrecy
汚;Dirty
欲;Want
暖;Warm
机;Desk
秘;Secret
訳;Translation
染;Dye
簡;Simplicity
閉;Closed
誌;Magazine
窓;Window
否;No
筋;Muscle
垂;Dangle
宝;Treasure
宣;Proclaim
尊;Revered
忠;Loyalty
拡;Extend
操;Manipulate
敬;Respect
暮;Livelihood
灰;Ash
熟;Ripen
異;Differ
皇;Emperor
盛;Pile
砂;Sand
漠;Desert
糖;Sugar
納;Supply
肺;Lung
著;Author
蒸;Steam
蔵;Storehouse
装;Attire
裏;Backside
諸;Various
賃;Rent
誤;Mistake
臓;Internal Organs
貴;Valuable
降;Descend
丼;Rice Bowl
吐;Throw Up
奴;Dude
隷;Slave
芋;Potato
縮;Shrink
純;Pure
縦;Vertical
粋;Stylish
聖;Holy
磁;Magnet
紅;Deep Red
射;Shoot
幕;Curtain
拝;Worship
薦;Recommend
推;Infer
揮;Brandish
沿;Run Alongside
源;Origin
劇;Drama
勤;Work
歓;Delight
承;Consent
損;Loss
枝;Branch
爪;Claw
豆;Beans
刻;Carve
腐;Rot
遅;Slow
彫;Carve
測;Measure
破;Tear
舎;Cottage
講;Lecture
滞;Stagnate
紹;Introduce
介;Jammed In
己;Oneself
厄;Unlucky
亀;Turtle
互;Mutual
剣;Sword
寿;Lifespan
彼;He
恥;Shame
杉;Cedar
汁;Soup
噌;Boisterous
炎;Flame
為;Sake
熊;Bear
獄;Prison
酔;Drunk
酢;Vinegar
鍋;Pot
湖;Lake
銅;Copper
払;Pay
油;Oil
醤;Soy Sauce
旧;Former
姓;Family Name
貿;Trade
将;Commander
盟;Alliance
遺;Leave Behind
伸;Stretch
債;Debt
及;Reach
奈;Nara
幅;Width
廃;Obsolete
甘;Sweet
換;Exchange
摘;Pluck
核;Nucleus
沖;Open Sea
縄;Rope
津;Haven
献;Offer
療;Heal
継;Inherit
維;Maintain
舞;Dance
伎;Deed
踏;Step
般;Generally
頼;Trust
依;Reliant
鹿;Deer
諾;Agreement
牙;Fang
跳;Hop
昭;Shining
漁;Fishing
償;Reparation
刑;Punish
募;Recruit
執;Tenacious
塁;Base
崩;Crumble
患;Afflicted
戻;Return
抗;Confront
抵;Resist
旬;In Season
湾;Gulf
爆;Explode
弾;Bullet
聴;Listen
跡;Traces
遣;Dispatch
闘;Struggle
陣;Army Base
香;Fragrance
兆;Omen
臨;Look To
削;Whittle Down
契;Pledge
恵;Favor
抱;Hug
掲;Display
狙;Aim
葬;Burial
需;Demand
齢;Age
宜;Best Regards
繰;Spin
避;Dodge
妊;Pregnant
娠;Pregnant
致;Do
刊;Edition
奏;Play Music
伴;Accompany
併;Join
傾;Lean
却;Contrary
奥;Interior
慮;Consider
懸;Suspend
房;Cluster
扱;Handle
抑;Suppress
択;Select
描;Draw
盤;Tray
称;Title
緒;Together
緩;Loose
託;Consign
賄;Bribe
賂;Bribe
贈;Presents
逃;Escape
還;Send Back
超;Ultra
邦;Home Country
鈴;Buzzer
阜;Mound
岐;Branch Off
隆;Prosperity
雇;Employ
控;Abstain
壁;Wall
棋;Chess Piece
渋;Bitter
片;One Sided
群;Flock
仙;Hermit
充;Allocate
免;Excuse
勧;Recommend
圏;Range
埋;Bury
埼;Cape
奪;Rob
御;Honorable
慎;Humility
拒;Refuse
枠;Frame
甲;Turtle Shell
斐;Patterned
祉;Welfare
稲;Rice Plant
譲;Defer
謙;Modesty
躍;Leap
銃;Gun
項;Paragraph
鋼;Steel
顧;Review
駐;Resident
駆;Gallop
柱;Pillar
唱;Chant
孝;Filial Piety
俊;Genius
兼;Concurrently
剤;Dose
吹;Blow
堀;Ditch
巡;Patrol
戒;Commandment
排;Reject
携;Portable
敏;Alert
鋭;Sharp
敷;Spread
殿;Milord
犠;Sacrifice
獲;Seize
茂;Luxuriant
繁;Overgrown
頻;Frequent
殖;Multiply
薄;Dilute
衝;Collide
誉;Honor
褒;Praise
透;Transparent
隣;Neighbor
雅;Elegant
遜;Humble
伺;Pay Respects
徹;Penetrate
瀬;Rapids
撤;Withdrawal
措;Set Aside
拠;Based On
儀;Ceremony
樹;Wood
棄;Abandon
虎;Tiger
蛍;Firefly
蜂;Bee
酎;Sake
蜜;Honey
墟;Ruins
艦;Warship
潜;Conceal
拳;Fist
炭;Charcoal
畑;Field
包;Wrap
衣;Clothes
仁;Humanity
鉱;Mineral
至;Attain
誠;Sincerity
郷;Hometown
侵;Invade
偽;Fake
克;Overcome
到;Arrival
双;Pair
哲;Philosophy
喪;Mourning
堅;Solid
床;Floor
括;Fasten
弧;Arc
挑;Challenge
掘;Dig
揚;Hoist
握;Grip
揺;Shake
斎;Purification
暫;Temporarily
析;Analysis
枢;Hinge
軸;Axis
柄;Pattern
泊;Overnight
滑;Slippery
潟;Lagoon
焦;Char
範;Example
紛;Distract
糾;Twist
綱;Cable
網;Netting
肝;Liver
芝;Lawn
荒;Wild
袋;Sack
誰;Who
珍;Rare
裂;Split
襲;Attack
貢;Tribute
趣;Charm
距;Distance
籍;Enroll
露;Expose
牧;Pasture
刷;Printing
朗;Bright
潮;Tide
即;Instant
垣;Hedge
威;Majesty
封;Seal
筒;Cylinder
岳;Peak
慰;Consolation
懇;Courteous
懲;Chastise
摩;Chafe
擦;Rub
撲;Slap
斉;Simultaneous
旨;Point
柔;Gentle
沈;Sink
沼;Bog
泰;Peace
滅;Destroy
滋;Nourishing
炉;Furnace
琴;Harp
寸;Measurement
竜;Dragon
縁;Edge
翼;Wing
吉;Good Luck
刃;Blade
忍;Endure
桃;Peach
辛;Spicy
謎;Riddle
侍;Samurai
俺;I
